offset,latA,latB,label
0x13d80,277.2,312.6,0
0x13e00,304.0,275.8,1
0x13e80,304.0,275.9,1
0x13f00,277.3,312.8,0
0x13f80,277.2,312.8,0
0x14000,280.4,314.8,0
0x14080,280.4,314.8,0
0x14100,303.7,274.8,1
0x14180,303.7,274.7,1
0x14200,280.5,314.7,0
0x14280,280.2,314.7,0
0x14300,303.8,274.7,1
0x14380,303.7,274.8,1
0x14400,303.1,274.1,1
0x14480,303.1,274.3,1
0x14500,277.7,300.3,0
0x14580,277.5,300.5,0
0x14600,303.2,274.3,1
0x14680,303.1,274.2,1
0x14700,277.7,300.2,0
0x14780,277.5,300.4,0
0x14800,277.2,304.0,0
0x14880,277.1,303.8,0
0x14900,280.9,312.4,0
0x14980,281.0,312.5,0
0x14a00,277.1,303.9,0
0x14a80,277.2,303.8,0
0x14b00,280.9,312.7,0
0x14b80,280.9,312.6,0
0x14c00,303.0,274.8,1
0x14c80,302.7,274.8,1
0x14d00,303.9,275.8,1
0x14d80,303.8,275.7,1
0x14e00,302.9,274.8,1
0x14e80,302.7,274.6,1
0x14f00,303.9,275.7,1
0x14f80,303.9,275.6,1
0x15000,302.4,277.3,1
0x15080,302.3,277.3,1
0x15100,280.5,315.3,0
0x15180,280.5,314.9,0
0x15200,302.4,277.2,1
0x15280,302.2,277.2,1
0x15300,280.5,315.1,0
0x15380,280.7,315.0,0
0x15400,277.7,304.5,0
0x15480,277.7,304.4,0
0x15500,303.3,278.6,1
0x15580,303.5,278.6,1
0x15600,277.6,304.6,0
0x15680,277.8,304.5,0
0x15700,303.5,278.6,1
0x15780,303.5,278.5,1
0x15800,280.2,317.4,0
0x15880,280.1,317.3,0
0x15900,277.8,306.5,0
0x15980,277.7,306.6,0
0x15a00,280.1,317.4,0
0x15a80,280.0,317.3,0
0x15b00,277.7,306.7,0
0x15b80,277.6,306.7,0
0x15c00,302.9,276.8,1
0x15c80,302.6,276.8,1
0x15d00,303.3,277.5,1
0x15d80,303.4,277.2,1
0x15e00,302.9,276.8,1
0x15e80,302.8,276.9,1
0x15f00,303.1,277.4,1
0x15f80,303.0,277.3,1
0x16000,308.4,282.6,1
0x16080,308.3,282.5,1
0x16100,282.7,308.9,0
0x16180,282.5,308.8,0
0x16200,308.3,282.7,1
0x16280,308.2,282.5,1
0x16300,282.6,308.7,0
0x16380,282.5,308.7,0
0x16400,280.9,318.6,0
0x16480,280.9,318.4,0
0x16500,306.4,281.0,1
0x16580,306.3,280.9,1
0x16600,281.0,318.6,0
0x16680,280.9,318.6,0
0x16700,306.3,281.2,1
0x16780,306.4,281.1,1
0x16800,308.0,282.8,1
0x16880,307.8,282.6,1
0x16900,306.7,281.2,1
0x16980,306.6,281.0,1
0x16a00,308.0,282.6,1
0x16a80,307.9,282.7,1
0x16b00,306.8,280.9,1
0x16b80,306.5,281.1,1
0x16c00,282.4,312.1,0
0x16c80,282.3,311.9,0
0x16d00,281.5,315.5,0
0x16d80,281.6,315.5,0
0x16e00,282.4,311.8,0
0x16e80,282.4,311.8,0
0x16f00,281.6,315.6,0
